wdid,icrsra,icrsdec,spectype,teff,logg,mass,logL,age,loghhe,logche,logch,lognh,logohe,logoh,lognahe,lognah,logmghe,logmgh,logalhe,logalh,logsihe,logsih,logphe,logph,logshe,logsh,logclhe,logcahe,logcah,logsche,logsch,logtihe,logtih,logvhe,logcrhe,logcrh,logmnhe,logmnh,logfehe,logfeh,logcohe,lognihe,lognih,logcuhe,logznhe,loggahe,loggehe,logsrhe,parallax,Dpc,comp,Mv
NGC 4688,12 47 46.52,04 20 09.69,DAZ:,89520.0,7.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.784084733,560.51,,
PB 389,10 35 35.23,39 55 01.69,DAZ?,15112.0,7.86,0.54,,0.155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5882,131.78,,
PG 0843+517,08 47 02.27,51 28 51.83,DAZ,19263.0,7.697,0.469,,0.05043,,,-7.2,,,-5.0,,,,-4.9,,-6.5,,-5.2,,-6.6,,-5.5,,,,,,,,,,-5.8,,,,-4.6,,,-6.3,,,,,,7.195400319,138.98,H,10.28
PG 1015+076,10 18 01.50,07 21 24.14,DAZ,27375.0,7.728,,,,,,,,,,,,,,,,,,,,,,,,<-11.432,,,,,,,,,,,,,,,,,,,,5.112712915,195.59,,13.01
PG 1632+177,16 34 41.93,17 36 33.57,DAZ,9754.0,7.25,0.305,-2.7,0.23,,,,,,,,,,,,,,,,,,,,,-10.75,,,,,,,,,,,,,,,,,,,,39.03397945,25.62,H,11.86
PG 1633+434,16 35 01.76,43 17 31.52,DAZ,6516.0,8.153,0.685,-3.53,2.61,,,,,,,,,,-7.55,,-8.72,,,,,,,,,-9.2,,,,,,,,,,,-7.88,,,,,,,,,68.99119608,14.49,H,13.69
PHL 5103,22 24 17.42,-16 15 48.84,DAZ,9725.0,8.081,0.648,,0.76,,,,,,,,,,,,,,,,,,,,,-7.2,,,,,,,,,,,,,,,,,,,,18.81494382,53.15,H,
SDSS J000155.18+251221.3,00 01 55.19,25 12 21.64,DAZ:,7285.0,8.228,0.736,,2.042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.222300241,191.49,H,
SDSS J000218.89-040912.8,00 02 18.89,-04 09 12.96,DAZ,9739.0,8.273,0.77,,0.9669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.859700804,205.77,H,
SDSS J000233.93-064944.4,00 02 33.93,-06 49 44.42,DAZ:,10012.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.439417832,,,
