wdid,icrsra,icrsdec,spectype,teff,logg,mass,logL,age,loghhe,logche,logohe,lognahe,logmghe,logalhe,logsihe,logphe,logshe,logclhe,logcahe,logsche,logtihe,logvhe,logcrhe,logmnhe,logfehe,logcohe,lognihe,logcuhe,loggahe,loggehe,logsrhe,parallax,Dpc,comp,Mv
SDSS J142525.77+230245.3,14 25 25.76,23 02 45.30,DBZA,11839.0,8.0528,0.6156,,0.43,-5.2295,,,,,,,,,,-7.6357,,,,,,,,,,,,,3.949103698,253.22,He,
SDSS J143350.83+071452.2,14 33 50.77,07 14 52.08,DBZA,16220.0,9.38,1.317,,0.442,-4.964,,,,,,,,,,-9.258,,,,,,,,,,,,,10.12781585,98.74,He,
SDSS J145213.98+134633.5,14 52 13.97,13 46 33.25,DBZ,14770.0,8.99,1.185,,0.494,-5.653,,,,,,,,,,-9.0377,,,,,,,,,,,,,3.616564026,276.51,He,
SDSS J145832.11+471955.8,14 58 32.11,47 19 55.90,DBZA,13996.0,7.99,0.582,,0.336,-4.631,,,,,,,,,,-7.5779,,,,,,,,,,,,,3.186344066,313.84,He,
SDSS J151642.97-004042.7,15 16 42.97,-00 40 42.85,DBZA,14788.0,8.05,0.617,,0.282,-4.534,,,,,,,,,,-8.5936,,,,,,,,,,,,,6.977591272,143.32,He,
SDSS J153417.60+134515.6,15 34 17.57,13 45 15.71,DBZ,14829.0,7.98,0.577,,0.299,<-6,,,,,,,,,,-9.1089,,,,,,,,,,,,,3.224026323,310.17,He,
SDSS J153953.06+385520.7,15 39 53.07,38 55 20.78,DBZ:,16499.0,9.18,1.259,,,-5.066,,,,,,,,,,<-10.05,,,,,,,,,,,,,3.000281314,333.3,He,
SDSS J154815.23+213528.4,15 48 15.25,21 35 28.71,DBZA,11084.0,7.989,0.5762,,0.468,-5.4069,,,,,,,,,,-9.128,,,,,,,,,,,,,6.008197162,166.44,He,
SDSS J160401.31+083109.0,16 04 01.31,08 31 08.99,DBZA,16280.0,9.27,1.287,,0.349,-4.854,,,,,,,,,,-9.2038,,,,,,,,,,,,,4.581182461,218.28,He,
SDSS J161038.92+371403.0,16 10 38.93,37 14 03.24,DBZA,13576.0,8.65,1.002,,0.634,-4.783,,,,,,,,,,-7.657,,,,,,,,,,,,,3.812931517,262.27,He,
SDSS J171403.75+365810.5,17 14 03.75,36 58 10.52,DBZA,13400.0,8.5,0.908,,0.392,-5.045,,,,,,,,,,-9.2037,,,,,,,,,,,,,4.463285923,224.05,He,
SDSS J172822.61+081549.3,17 28 22.61,08 15 49.17,DBZA,14318.0,7.58,0.381,,1.44,-4.099,,,,,,,,,,-9.8409,,,,,,,,,,,,,1.738767122,575.12,He,
SDSS J200757.10-120832.0,20 07 57.10,-12 08 31.95,DBZA,14824.0,8.21,0.721,,0.346,-4.573,,,,,,,,,,-9.8095,,,,,,,,,,,,,8.890753286,112.48,He,
