wdid,icrsra,icrsdec,spectype,teff,logg,mass,logL,age,loghhe,logche,logch,lognh,logohe,logoh,lognahe,lognah,logmghe,logmgh,logalhe,logalh,logsihe,logsih,logphe,logph,logshe,logsh,logclhe,logcahe,logcah,logsche,logsch,logtihe,logtih,logvhe,logcrhe,logcrh,logmnhe,logmnh,logfehe,logfeh,logcohe,lognihe,lognih,logcuhe,logznhe,loggahe,loggehe,logsrhe,parallax,Dpc,comp,Mv
SDSS J095030.77+633247.5,09 50 30.76,63 32 47.36,DZ,11023.0,8.0,,,,,,,,,,,,,,,,,,,,,,,-7.883999999999999,,,,,,,,,,,,,,,,,,,,,2.97002684,336.70,He,
SDSS J095053.05+484811.8,09 50 53.05,48 48 11.04,DZ,6995.0,8.5187,0.9132,,3.75,<-3.4275,,,,,,,,,,,,,,,,,,,-8.8423,,,,,,,,,,,,,,,,,,,,,5.010120788,199.60,He,
SDSS J095119.85+403322.4,09 51 19.82,40 33 22.15,DZA,8237.0,8.194,0.699,,1.42,-4.0,,,,,,,,,,,,,,,,,,,-10.12,,,,,,,,,,,,,,,,,,,,,13.9268919,71.80,He,
SDSS J095339.13+151017.7,09 53 39.18,15 10 16.84,DZ,6933.0,8.1145,0.6451,,1.97,<-3.7562,,,,,,,,,,,,,,,,,,,-10.83,,,,,,,,,,,,,,,,,,,,,4.624906525,216.22,He,
SDSS J095354.97+171953.1,09 53 54.95,17 19 53.13,DZ,7072.0,7.6584,0.3928,,0.996,<-4.1422,,,,,,,,,,,,,,,,,,,-10.3465,,,,,,,,,,,,,,,,,,,,,5.026518426,198.94,He,
SDSS J095406.43+334716.5,09 54 06.39,33 47 15.47,DZ,10290.0,8.2495,0.7378,,0.835,<-5.7952,,,,,,,,,,,,,,,,,,,-9.0884,,,,,,,,,,,,,,,,,,,,,6.759575527,147.94,He,
SDSS J095435.86+563518.2,09 54 35.92,56 35 18.07,DZ,9404.0,8.1588,0.6774,,0.929,<-5.7174,,,,,,,,,,,,,,,,,,,-9.3496,,,,,,,,,,,,,,,,,,,,,4.416386065,226.43,He,
SDSS J095523.49+523350.3,09 55 23.53,52 33 49.74,DZ,7620.0,7.9227,0.5303,,1.14,<-4.3228,,,,,,,,,,,,,,,,,,,-8.6512,,,,,,,,,,,,,,,,,,,,,4.325913155,231.17,He,
SDSS J095731.02+282232.4,09 57 31.02,28 22 32.04,DZ,6494.0,7.6227,0.3748,,1.18,<-3.7466,,,,,,,,,,,,,,,,,,,-11.4422,,,,,,,,,,,,,,,,,,,,,5.516247631,181.28,He,
SDSS J095743.63+432320.1,09 57 43.55,43 23 19.79,DZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8193,171.84,,
SDSS J095934.77+255618.8,09 59 34.77,25 56 19.38,DZ,8826.0,8.012,0.585,,0.92,-4.0,,,,,,,,,,,,,,,,,,,-10.92,,,,,,,,,,,,,,,,,,,,,17.61337063,56.78,He,
SDSS J100031.86-023050.0,10 00 31.86,-02 30 50.03,DZ,5318.0,8.0,,,0.0,<-3.008,,,,,,,,,,,,,,,,,,,-10.1566,,,,,,,,,,,,,,,,,,,,,,188.391,He,
SDSS J100237.36+031325.6,10 02 37.33,03 13 25.48,DZ,9997.0,8.0562,0.6142,,0.677,<-5.8738,,,,,,,,,,,,,,,,,,,-8.8947,,,,,,,,,,,,,,,,,,,,,4.834672943,206.84,He,
